artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
Wizkid;Skepta,Made In Lagos,Longtime (feat. Skepta),55,239893,True,0.85,0.66,11,-4.846,0,0.169,0.417,5.14e-05,0.209,0.622,101.947,4,dancehall
Ivan komarenko,Tango saute,Dom na wiślanym brzegu,31,209093,False,0.64,0.758,9,-7.31,0,0.0675,0.497,0.0,0.0506,0.849,106.978,4,disco
Jayla Darden,"Ideas, Vol. 2",Idea 686,53,163235,False,0.712,0.347,0,-10.363,0,0.041,0.378,0.0212,0.111,0.5,135.975,4,chill
Chino & Nacho,Perreo Tenebroso Vol. 2,Me Voy Enamorando,0,235720,False,0.686,0.912,10,-3.411,1,0.0685,0.0533,0.0,0.392,0.511,99.952,4,electro
OneRepublic,Christmas Songs 2022,Christmas Without You,1,197146,False,0.262,0.677,7,-5.645,1,0.0528,0.447,0.0,0.205,0.365,207.478,3,piano
Kid Abelha,Educação Sentimental,Educação sentimental II,41,291906,False,0.659,0.712,1,-9.233,0,0.0263,0.00673,0.00128,0.17,0.857,139.678,4,r-n-b
MR TOUT LE MONDE,SUN,Searching,53,209910,False,0.586,0.811,8,-12.527,1,0.0364,0.0666,0.631,0.318,0.0383,122.014,4,french
Liquid Mind,Ambience Minimus,Liquid Mind,23,711600,False,0.0783,0.0582,2,-24.158,0,0.048,0.975,0.96,0.105,0.0362,176.204,3,new-age
Armin van Buuren;Sam Gray,Human Touch,Human Touch,52,145748,False,0.633,0.834,2,-5.316,1,0.0383,0.0029,4.37e-05,0.19,0.599,126.981,4,progressive-house
Tenille Arts,"Love, Heartbreak, & Everything in Between",Somebody Like That,72,198208,False,0.574,0.798,6,-5.356,1,0.0485,0.0152,0.0,0.111,0.58,105.034,4,country
Atsuko Takezawa;Erika Shiraishi;Hozumi Shibata;Mayumi Makino;Yukari Fujii,Hercules (Original Motion Picture Soundtrack/Japanese Version),Zero to Hero - Japanese Version,29,138013,False,0.48,0.594,0,-12.283,1,0.233,0.564,0.0,0.801,0.81,164.668,4,disney
Vendredi;Son&Dad,Chill Out Covers - Chillout Covers - Chill Acoustic - Relaxing Songs - Calming Acoustic Songs,Just The Two Of Us - Acoustic,28,124742,False,0.462,0.424,5,-7.038,0,0.0301,0.883,0.0,0.147,0.564,97.675,4,acoustic
